任务,完成时间¹,工具步骤,模型轮次,未缓存输入,缓存命中,缓存写入,输出,命中率,总成本²
"Allrecipes--0","145.497","18","11","122396","115584","0","4294","0.48568787293049837","0.04880663999999999"
"Allrecipes--1","161.643","26","23","141646","204163","0","5648","0.5903923842352281","0.061521179999999995"
"Allrecipes--2","114.385","19","20","96414","394112","0","3785","0.8034477275414555","0.05711291999999999"
"Allrecipes--3","141.033","12","12","57639","66688","0","4534","0.5363919341735907","0.02673378"
"Allrecipes--4","111.674","24","20","135493","255608","0","5872","0.6535600778315576","0.06303078"
"Allrecipes--5","184.418","52","31","221014","1152787","0","16293","0.8391222600653224","0.15502301999999998"
"Allrecipes--6","66.449","10","9","26397","50432","0","2491","0.6564188001926355","0.01393422"
"Allrecipes--7","218.168","26","24","96545","168829","0","5360","0.636192694084575","0.04552524"
"Allrecipes--8","70.01","17","17","73303","151784","0","3000","0.6743348127612878","0.03469794"
"Allrecipes--9","448.553","48","45","380785","1042560","0","15515","0.7324717478896543","0.19540709999999997"
"Allrecipes--10","225.743","24","24","130947","206464","0","2475","0.6119065472080045","0.05464194"
"Allrecipes--11","103.236","26","20","114499","241834","0","7233","0.6786741615286824","0.057539339999999994"
"Allrecipes--12","139.206","22","19","49296","256512","0","3437","0.838800816198399","0.03430392000000001"
"Allrecipes--13","113.797","27","27","220744","235188","0","4561","0.5158400814156497","0.08580768000000003"
"Allrecipes--14","115.967","18","16","101747","171902","0","5831","0.6281842798621592","0.04783541999999999"
"Allrecipes--15","150.572","31","30","133912","346735","0","7289","0.7213922067546453","0.06972449999999998"
"Allrecipes--17","214.949","24","22","181967","267895","0","5736","0.5955048437076259","0.077547"
"Allrecipes--18","157.019","22","22","106435","214784","0","5866","0.6686528505474458","0.05185673999999999"
"Allrecipes--21","121.48","13","12","42576","65280","0","2241","0.6052514463729417","0.0193788"
"Allrecipes--22","178.013","20","20","78052","157952","0","4602","0.6692767919187811","0.03841512"
"Allrecipes--27","354.691","40","36","295632","613120","0","12689","0.674683522017008","0.1407036"
"Allrecipes--28","314.331","39","40","327214","452048","0","12285","0.5800975795047109","0.14002907999999997"
"Allrecipes--32","132.709","21","19","81859","337920","0","7091","0.8049950092786918","0.05334209999999999"
"Allrecipes--33","417.517","52","50","861325","782272","0","23408","0.47595122161941156","0.33342341999999997"
"Allrecipes--34","112.031","26","23","142733","278965","0","6091","0.6615279180835574","0.066867"
"Allrecipes--35","94.311","21","21","70729","197888","0","5064","0.7366920187478827","0.03916878000000001"
"Allrecipes--36","344.818","31","31","130925","371968","0","8098","0.7396563483683408","0.07131318"
"Allrecipes--37","70.677","19","18","82638","316488","0","4609","0.7929526014341336","0.04931147999999999"
"Allrecipes--38","201.714","25","24","165495","521984","0","7171","0.7592726468735772","0.08957274"
"Allrecipes--39","370.749","55","50","188555","470272","0","5582","0.7138019540789919","0.09148121999999999"
"Allrecipes--40","77.651","23","23","71119","135958","0","2815","0.6565577055877765","0.03287118"
"Allrecipes--41","131.601","16","16","86404","81664","0","4473","0.4858985648666016","0.03618864"
"Allrecipes--42","87.188","25","25","110134","274289","0","5585","0.7135082968500844","0.05619953999999999"
"Allrecipes--43","153.786","40","41","233694","317956","0","7538","0.5763727000815735","0.09823116000000001"
"Allrecipes--44","49.107","7","7","30619","32795","0","3067","0.5171570946478695","0.014833800000000001"
"Amazon--0","278.676","42","34","431211","1642624","0","10644","0.7920707288670507","0.24069354"
"Amazon--1","101.791","14","14","140599","119882","0","7743","0.4602331839942261","0.05866421999999999"
"Amazon--2","160.652","40","38","703883","1400827","0","8750","0.6655677029139406","0.30571452000000005"
"Amazon--3","285.551","46","43","487983","1217645","0","14727","0.7138983412561238","0.23712600000000003"
"Amazon--4","186.066","24","24","155747","184378","0","7322","0.5420889378904814","0.06657318"
"Amazon--5","87.187","6","7","35877","28352","0","1120","0.44142054212271714","0.01380822"
"Amazon--6","338.209","51","50","909262","450147","0","11665","0.3311343385250502","0.3137854199999999"
"Amazon--7","152.512","11","11","150632","51712","0","5314","0.2555647807693828","0.05466911999999999"
"Amazon--8","110.433","21","17","150571","242454","0","7085","0.6168920552127727","0.06822054"
"Amazon--9","182.986","24","22","170517","268790","0","7478","0.6118500274295652","0.0762561"
